"packageName","vulnerabilityID","severity"
"linux-libc-dev","CVE-2004-0230","Negligible"
"tar","CVE-2005-2541","Negligible"
"linux-libc-dev","CVE-2005-3660","Negligible"
"openssh-client","CVE-2007-2243","Negligible"
"openssh-client","CVE-2007-2768","Negligible"
"linux-libc-dev","CVE-2007-3719","Negligible"
"login","CVE-2007-5686","Negligible"
"passwd","CVE-2007-5686","Negligible"
"libssl3","CVE-2007-6755","Negligible"
"openssl","CVE-2007-6755","Negligible"
"linux-libc-dev","CVE-2008-2544","Negligible"
"openssh-client","CVE-2008-3234","Negligible"
"linux-libc-dev","CVE-2008-4609","Negligible"
"libssl3","CVE-2010-0928","Negligible"
"openssl","CVE-2010-0928","Negligible"
"linux-libc-dev","CVE-2010-4563","Negligible"
"libc-bin","CVE-2010-4756","Negligible"
"libc-dev-bin","CVE-2010-4756","Negligible"
"libc6","CVE-2010-4756","Negligible"
"libc6-dev","CVE-2010-4756","Negligible"
"linux-libc-dev","CVE-2010-5321","Negligible"
"apt","CVE-2011-3374","Negligible"
"libapt-pkg6.0","CVE-2011-3374","Negligible"
"libgnutls30","CVE-2011-3389","Negligible"
"libperl5.36","CVE-2011-4116","Negligible"
"perl","CVE-2011-4116","Negligible"
"perl-base","CVE-2011-4116","Negligible"
"perl-modules-5.36","CVE-2011-4116","Negligible"
"linux-libc-dev","CVE-2011-4915","Negligible"
"linux-libc-dev","CVE-2011-4916","Negligible"
"linux-libc-dev","CVE-2011-4917","Negligible"
"linux-libc-dev","CVE-2012-4542","Negligible"
"libsystemd0","CVE-2013-4392","Negligible"
"libudev1","CVE-2013-4392","Negligible"
"linux-libc-dev","CVE-2013-7445","High"
"linux-libc-dev","CVE-2014-9892","Negligible"
"linux-libc-dev","CVE-2014-9900","Negligible"
"linux-libc-dev","CVE-2015-2877","Negligible"
"libldap-2.5-0","CVE-2015-3276","Negligible"
"linux-libc-dev","CVE-2016-10723","Negligible"
"openssh-client","CVE-2016-20012","Negligible"
"coreutils","CVE-2016-2781","Low"
"linux-libc-dev","CVE-2016-8660","Negligible"
"linux-libc-dev","CVE-2017-0630","Negligible"
"linux-libc-dev","CVE-2017-13693","Negligible"
"linux-libc-dev","CVE-2017-13694","Negligible"
"binutils","CVE-2017-13716","Negligible"
"binutils-common","CVE-2017-13716","Negligible"
"binutils-x86-64-linux-gnu","CVE-2017-13716","Negligible"
"libbinutils","CVE-2017-13716","Negligible"
"libctf-nobfd0","CVE-2017-13716","Negligible"
"libctf0","CVE-2017-13716","Negligible"
