"packageName","vulnerabilityID","severity"
"httpd","CVE-1999-0236","High"
"httpd","CVE-1999-0678","Medium"
"httpd","CVE-1999-1237","High"
"httpd","CVE-1999-1412","Medium"
"tar","CVE-2005-2541","Negligible"
"httpd","CVE-2007-0086","High"
"httpd","CVE-2007-0450","Medium"
"login","CVE-2007-5686","Negligible"
"passwd","CVE-2007-5686","Negligible"
"libssl1.1","CVE-2007-6755","Negligible"
"openssl","CVE-2007-6755","Negligible"
"libssl1.1","CVE-2010-0928","Negligible"
"openssl","CVE-2010-0928","Negligible"
"libc-bin","CVE-2010-4756","Negligible"
"libc6","CVE-2010-4756","Negligible"
"apt","CVE-2011-3374","Negligible"
"libapt-pkg6.0","CVE-2011-3374","Negligible"
"libgnutls30","CVE-2011-3389","Negligible"
"perl-base","CVE-2011-4116","Negligible"
"libexpat1","CVE-2013-0340","Negligible"
"login","CVE-2013-4235","Negligible"
"passwd","CVE-2013-4235","Negligible"
"libsystemd0","CVE-2013-4392","Negligible"
"libudev1","CVE-2013-4392","Negligible"
"libldap-2.4-2","CVE-2015-3276","Negligible"
"libldap-common","CVE-2015-3276","Negligible"
"coreutils","CVE-2016-2781","Low"
"libxml2","CVE-2016-3709","Medium"
"libpcre3","CVE-2017-11164","Negligible"
"libldap-2.4-2","CVE-2017-14159","Negligible"
"libldap-common","CVE-2017-14159","Negligible"
"libpcre3","CVE-2017-16231","Negligible"
"libldap-2.4-2","CVE-2017-17740","Negligible"
"libldap-common","CVE-2017-17740","Negligible"
"coreutils","CVE-2017-18018","Negligible"
"libpcre3","CVE-2017-7245","Negligible"
"libpcre3","CVE-2017-7246","Negligible"
"libc-bin","CVE-2018-20796","Negligible"
"libc6","CVE-2018-20796","Negligible"
"libgssapi-krb5-2","CVE-2018-5709","Negligible"
"libk5crypto3","CVE-2018-5709","Negligible"
"libkrb5-3","CVE-2018-5709","Negligible"
"libkrb5support0","CVE-2018-5709","Negligible"
"libgcrypt20","CVE-2018-6829","Negligible"
"libc-bin","CVE-2019-1010022","Negligible"
"libc6","CVE-2019-1010022","Negligible"
"libc-bin","CVE-2019-1010023","Negligible"
"libc6","CVE-2019-1010023","Negligible"
"libc-bin","CVE-2019-1010024","Negligible"
"libc6","CVE-2019-1010024","Negligible"
"libc-bin","CVE-2019-1010025","Negligible"
"libc6","CVE-2019-1010025","Negligible"
"login","CVE-2019-19882","Negligible"
"passwd","CVE-2019-19882","Negligible"
"libpcre3","CVE-2019-20838","Negligible"
"libdb5.3","CVE-2019-8457","Critical"
"libc-bin","CVE-2019-9192","Negligible"
"libc6","CVE-2019-9192","Negligible"
"libsystemd0","CVE-2020-13529","Negligible"
"libudev1","CVE-2020-13529","Negligible"
"libldap-2.4-2","CVE-2020-15719","Negligible"
"libldap-common","CVE-2020-15719","Negligible"
"perl-base","CVE-2020-16156","High"
"libjansson4","CVE-2020-36325","Negligible"
"libcurl4","CVE-2021-22922","Negligible"
"libcurl4","CVE-2021-22923","Negligible"
"libgcrypt20","CVE-2021-33560","High"
"libsepol1","CVE-2021-36084","Low"
"libsepol1","CVE-2021-36085","Low"
"libsepol1","CVE-2021-36086","Low"
"libsepol1","CVE-2021-36087","Low"
"liblua5.2-0","CVE-2021-43519","Negligible"
"bsdutils","CVE-2022-0563","Negligible"
"libblkid1","CVE-2022-0563","Negligible"
"libmount1","CVE-2022-0563","Negligible"
"libsmartcols1","CVE-2022-0563","Negligible"
"libuuid1","CVE-2022-0563","Negligible"
"mount","CVE-2022-0563","Negligible"
"util-linux","CVE-2022-0563","Negligible"
"e2fsprogs","CVE-2022-1304","High"
"libcom-err2","CVE-2022-1304","High"
"libext2fs2","CVE-2022-1304","High"
"libss2","CVE-2022-1304","High"
"logsave","CVE-2022-1304","High"
"gpgv","CVE-2022-3219","Negligible"
"bash","CVE-2022-3715","High"
"libcurl4","CVE-2022-42916","High"
"libcurl4","CVE-2022-43551","High"
"tar","CVE-2022-48303","Negligible"
"libzstd1","CVE-2022-4899","High"
"libcurl4","CVE-2023-23914","Critical"
"libcurl4","CVE-2023-23915","Medium"
"libcurl4","CVE-2023-27533","High"
"libcurl4","CVE-2023-27534","High"
"libcurl4","CVE-2023-27535","High"
"libcurl4","CVE-2023-27536","Medium"
"libcurl4","CVE-2023-27538","Medium"
"libcurl4","CVE-2023-28320","Negligible"
"libcurl4","CVE-2023-28321","High"
"libcurl4","CVE-2023-28322","Critical"
"login","CVE-2023-29383","Low"
"passwd","CVE-2023-29383","Low"
"libtinfo6","CVE-2023-29491","High"
"ncurses-base","CVE-2023-29491","High"
"ncurses-bin","CVE-2023-29491","High"
"libldap-2.4-2","CVE-2023-2953","High"
"libldap-common","CVE-2023-2953","High"
"perl-base","CVE-2023-31484","High"
"perl-base","CVE-2023-31486","Negligible"
