"packageName","vulnerabilityID","severity"
"libc-bin","CVE-2016-20013","Negligible"
"libc6","CVE-2016-20013","Negligible"
"coreutils","CVE-2016-2781","Low"
"libpcre3","CVE-2017-11164","Negligible"
"libncurses6","CVE-2022-29458","Negligible"
"libncursesw6","CVE-2022-29458","Negligible"
"libtinfo6","CVE-2022-29458","Negligible"
"ncurses-base","CVE-2022-29458","Negligible"
"ncurses-bin","CVE-2022-29458","Negligible"
"gpg","CVE-2022-3219","Low"
"gpgconf","CVE-2022-3219","Low"
"gpgv","CVE-2022-3219","Low"
"bash","CVE-2022-3715","Low"
"libsqlite3-0","CVE-2022-46908","Low"
"libzstd1","CVE-2022-4899","Low"
"zstd","CVE-2022-4899","Low"
"libssl3","CVE-2023-1255","Low"
"libcap2","CVE-2023-2602","Low"
"libcap2-bin","CVE-2023-2602","Low"
"libcap2","CVE-2023-2603","Medium"
"libcap2-bin","CVE-2023-2603","Medium"
"libssl3","CVE-2023-2650","Medium"
"login","CVE-2023-29383","Low"
"passwd","CVE-2023-29383","Low"
"libncurses6","CVE-2023-29491","Medium"
"libncursesw6","CVE-2023-29491","Medium"
"libtinfo6","CVE-2023-29491","Medium"
"ncurses-base","CVE-2023-29491","Medium"
"ncurses-bin","CVE-2023-29491","Medium"
"github.com/opencontainers/runc","GHSA-f3fp-gc8g-vw66","Medium"
"github.com/opencontainers/runc","GHSA-g2j6-57v7-gm8c","Medium"
"github.com/opencontainers/runc","GHSA-m8cg-xc2p-r3fc","Low"
"golang.org/x/sys","GHSA-p782-xgp4-8hr8","Medium"
"github.com/opencontainers/runc","GHSA-v95c-p5hm-xq8f","Medium"
"github.com/opencontainers/runc","GHSA-vpvm-3wq2-2wvm","High"
