"packageName","vulnerabilityID","severity"
"tar","CVE-2005-2541","Negligible"
"login","CVE-2007-5686","Negligible"
"passwd","CVE-2007-5686","Negligible"
"libssl3","CVE-2007-6755","Negligible"
"openssl","CVE-2007-6755","Negligible"
"nginx","CVE-2009-4487","Negligible"
"libssl3","CVE-2010-0928","Negligible"
"openssl","CVE-2010-0928","Negligible"
"libc-bin","CVE-2010-4756","Negligible"
"libc6","CVE-2010-4756","Negligible"
"apt","CVE-2011-3374","Negligible"
"libapt-pkg6.0","CVE-2011-3374","Negligible"
"libgnutls30","CVE-2011-3389","Negligible"
"perl-base","CVE-2011-4116","Negligible"
"nginx","CVE-2013-0337","Low"
"libsystemd0","CVE-2013-4392","Negligible"
"libudev1","CVE-2013-4392","Negligible"
"libtiff6","CVE-2014-8130","Negligible"
"libldap-2.5-0","CVE-2015-3276","Negligible"
"libxslt1.1","CVE-2015-9019","Negligible"
"coreutils","CVE-2016-2781","Low"
"libldap-2.5-0","CVE-2017-14159","Negligible"
"libtiff6","CVE-2017-16232","Negligible"
"libldap-2.5-0","CVE-2017-17740","Negligible"
"libtiff6","CVE-2017-17973","Negligible"
"coreutils","CVE-2017-18018","Negligible"
"libtiff6","CVE-2017-5563","Negligible"
"libtiff6","CVE-2017-9117","Negligible"
"libjbig0","CVE-2017-9937","Negligible"
"libtiff6","CVE-2018-10126","Negligible"
"libc-bin","CVE-2018-20796","Negligible"
"libc6","CVE-2018-20796","Negligible"
"libgssapi-krb5-2","CVE-2018-5709","Negligible"
"libk5crypto3","CVE-2018-5709","Negligible"
"libkrb5-3","CVE-2018-5709","Negligible"
"libkrb5support0","CVE-2018-5709","Negligible"
"libgcrypt20","CVE-2018-6829","Negligible"
"libc-bin","CVE-2019-1010022","Negligible"
"libc6","CVE-2019-1010022","Negligible"
"libc-bin","CVE-2019-1010023","Negligible"
"libc6","CVE-2019-1010023","Negligible"
"libc-bin","CVE-2019-1010024","Negligible"
"libc6","CVE-2019-1010024","Negligible"
"libc-bin","CVE-2019-1010025","Negligible"
"libc6","CVE-2019-1010025","Negligible"
"login","CVE-2019-19882","Negligible"
"passwd","CVE-2019-19882","Negligible"
"libc-bin","CVE-2019-9192","Negligible"
"libc6","CVE-2019-9192","Negligible"
"libldap-2.5-0","CVE-2020-15719","Negligible"
"libpng16-16","CVE-2021-4214","Negligible"
"bsdutils","CVE-2022-0563","Negligible"
"libblkid1","CVE-2022-0563","Negligible"
"libmount1","CVE-2022-0563","Negligible"
"libsmartcols1","CVE-2022-0563","Negligible"
"libuuid1","CVE-2022-0563","Negligible"
"mount","CVE-2022-0563","Negligible"
"util-linux","CVE-2022-0563","Negligible"
"util-linux-extra","CVE-2022-0563","Negligible"
"libtiff6","CVE-2022-1056","Negligible"
"libtiff6","CVE-2022-1210","Negligible"
"gcc-12-base","CVE-2022-27943","Negligible"
"libgcc-s1","CVE-2022-27943","Negligible"
"libstdc++6","CVE-2022-27943","Negligible"
"gpgv","CVE-2022-3219","Negligible"
"tar","CVE-2022-48303","Negligible"
"libtiff6","CVE-2023-1916","Negligible"
"libde265-0","CVE-2023-27102","Medium"
"libde265-0","CVE-2023-27103","High"
"login","CVE-2023-29383","Low"
"passwd","CVE-2023-29383","Low"
"libldap-2.5-0","CVE-2023-2953","High"
"libheif1","CVE-2023-29659","Medium"
"perl-base","CVE-2023-31484","High"
"perl-base","CVE-2023-31486","Negligible"
"libtiff6","CVE-2023-3164","Negligible"
"libdav1d6","CVE-2023-32570","Medium"
