"packageName","vulnerabilityID","severity"
"gnutls","ELSA-2022-9221","Medium"
"libgcrypt","ELSA-2022-9263","Medium"
"libgcrypt","ELSA-2022-9564","High"
"systemd-libs","ELSA-2023-0837","Medium"
"tar","ELSA-2023-0842","Medium"
"curl","ELSA-2023-1140","Medium"
"libcurl","ELSA-2023-1140","Medium"
"openssl-libs","ELSA-2023-1405","High"
"gnutls","ELSA-2023-1569","Medium"
"curl","ELSA-2023-2963","Low"
"libcurl","ELSA-2023-2963","Low"
"libarchive","ELSA-2023-3018","Low"
"curl","ELSA-2023-3106","Medium"
"libcurl","ELSA-2023-3106","Medium"
