"packageName","vulnerabilityID","severity"
"gnutls","CVE-2021-20232","Critical"
"libgcrypt","CVE-2021-33560","High"
"libgcrypt","CVE-2021-40528","Medium"
"libcurl","CVE-2022-35252","Low"
"libarchive","CVE-2022-36227","Critical"
"openssl-libs","CVE-2022-4304","Medium"
"curl","CVE-2022-43552","Medium"
"systemd-libs","CVE-2022-4415","Medium"
"tar","CVE-2022-48303","Medium"
"gnutls","CVE-2023-0361","High"
"curl","CVE-2023-23916","Medium"
"libcurl","CVE-2023-23916","Medium"
"curl","CVE-2023-27535","High"
"libcurl","CVE-2023-27535","High"
