"packageName","vulnerabilityID","severity"
"login","CVE-2013-4235","Low"
"passwd","CVE-2013-4235","Low"
"libc-bin","CVE-2016-20013","Negligible"
"libc6","CVE-2016-20013","Negligible"
"coreutils","CVE-2016-2781","Low"
"libpcre3","CVE-2017-11164","Negligible"
"libncurses6","CVE-2021-39537","Negligible"
"libncursesw6","CVE-2021-39537","Negligible"
"libtinfo6","CVE-2021-39537","Negligible"
"ncurses-base","CVE-2021-39537","Negligible"
"ncurses-bin","CVE-2021-39537","Negligible"
"libncurses6","CVE-2022-29458","Negligible"
"libncursesw6","CVE-2022-29458","Negligible"
"libtinfo6","CVE-2022-29458","Negligible"
"ncurses-base","CVE-2022-29458","Negligible"
"ncurses-bin","CVE-2022-29458","Negligible"
"gpgv","CVE-2022-3219","Low"
"libsystemd0","CVE-2023-26604","Low"
"libudev1","CVE-2023-26604","Low"
"login","CVE-2023-29383","Low"
"passwd","CVE-2023-29383","Low"
"libncurses6","CVE-2023-29491","Medium"
"libncursesw6","CVE-2023-29491","Medium"
"libtinfo6","CVE-2023-29491","Medium"
"ncurses-base","CVE-2023-29491","Medium"
"ncurses-bin","CVE-2023-29491","Medium"
"perl-base","CVE-2023-31484","Medium"
