"packageName","vulnerabilityID","severity"
"libc-bin","CVE-2016-20013","Negligible"
"libc6","CVE-2016-20013","Negligible"
"coreutils","CVE-2016-2781","Low"
"libpcre3","CVE-2017-11164","Negligible"
"libncurses6","CVE-2022-29458","Negligible"
"libncursesw6","CVE-2022-29458","Negligible"
"libtinfo6","CVE-2022-29458","Negligible"
"ncurses-base","CVE-2022-29458","Negligible"
"ncurses-bin","CVE-2022-29458","Negligible"
"gpgv","CVE-2022-3219","Low"
"bash","CVE-2022-3715","Low"
"libzstd1","CVE-2022-4899","Low"
"libssl3","CVE-2023-1255","Low"
"libcap2","CVE-2023-2602","Low"
"libcap2","CVE-2023-2603","Medium"
"libssl3","CVE-2023-2650","Medium"
"login","CVE-2023-29383","Low"
"passwd","CVE-2023-29383","Low"
"libncurses6","CVE-2023-29491","Medium"
"libncursesw6","CVE-2023-29491","Medium"
"libtinfo6","CVE-2023-29491","Medium"
"ncurses-base","CVE-2023-29491","Medium"
"ncurses-bin","CVE-2023-29491","Medium"
"perl-base","CVE-2023-31484","Medium"
