"packageName","vulnerabilityID","severity"
"apt","CVE-2011-3374","LOW"
"binutils","CVE-2017-13716","LOW"
"binutils","CVE-2018-12934","LOW"
"binutils","CVE-2018-18483","LOW"
"binutils","CVE-2018-20623","LOW"
"binutils","CVE-2018-20673","LOW"
"binutils","CVE-2018-20712","LOW"
"binutils","CVE-2018-9996","LOW"
"binutils","CVE-2023-1972","LOW"
"binutils-common","CVE-2017-13716","LOW"
"binutils-common","CVE-2018-12934","LOW"
"binutils-common","CVE-2018-18483","LOW"
"binutils-common","CVE-2018-20623","LOW"
"binutils-common","CVE-2018-20673","LOW"
"binutils-common","CVE-2018-20712","LOW"
"binutils-common","CVE-2018-9996","LOW"
"binutils-common","CVE-2023-1972","LOW"
"binutils-x86-64-linux-gnu","CVE-2017-13716","LOW"
"binutils-x86-64-linux-gnu","CVE-2018-12934","LOW"
"binutils-x86-64-linux-gnu","CVE-2018-18483","LOW"
"binutils-x86-64-linux-gnu","CVE-2018-20623","LOW"
"binutils-x86-64-linux-gnu","CVE-2018-20673","LOW"
"binutils-x86-64-linux-gnu","CVE-2018-20712","LOW"
"binutils-x86-64-linux-gnu","CVE-2018-9996","LOW"
"binutils-x86-64-linux-gnu","CVE-2023-1972","LOW"
"bsdutils","CVE-2022-0563","LOW"
"coreutils","CVE-2016-2781","LOW"
"coreutils","CVE-2017-18018","LOW"
"cpp-12","CVE-2022-27943","LOW"
"dirmngr","CVE-2022-3219","LOW"
"g++-12","CVE-2022-27943","LOW"
"gcc-12","CVE-2022-27943","LOW"
"gcc-12-base","CVE-2022-27943","LOW"
"git","CVE-2023-25652","HIGH"
"git","CVE-2023-29007","HIGH"
"git","CVE-2018-1000021","LOW"
"git","CVE-2022-24975","LOW"
"git","CVE-2023-25815","LOW"
"git-man","CVE-2023-25652","HIGH"
"git-man","CVE-2023-29007","HIGH"
"git-man","CVE-2018-1000021","LOW"
"git-man","CVE-2022-24975","LOW"
"git-man","CVE-2023-25815","LOW"
"gnupg","CVE-2022-3219","LOW"
"gnupg-l10n","CVE-2022-3219","LOW"
"gnupg-utils","CVE-2022-3219","LOW"
"gpg","CVE-2022-3219","LOW"
"gpg-agent","CVE-2022-3219","LOW"
"gpg-wks-client","CVE-2022-3219","LOW"
"gpg-wks-server","CVE-2022-3219","LOW"
"gpgconf","CVE-2022-3219","LOW"
"gpgsm","CVE-2022-3219","LOW"
"gpgv","CVE-2022-3219","LOW"
"libapt-pkg6.0","CVE-2011-3374","LOW"
"libasan8","CVE-2022-27943","LOW"
"libatomic1","CVE-2022-27943","LOW"
"libbinutils","CVE-2017-13716","LOW"
"libbinutils","CVE-2018-12934","LOW"
"libbinutils","CVE-2018-18483","LOW"
"libbinutils","CVE-2018-20623","LOW"
"libbinutils","CVE-2018-20673","LOW"
"libbinutils","CVE-2018-20712","LOW"
"libbinutils","CVE-2018-9996","LOW"
"libbinutils","CVE-2023-1972","LOW"
"libblkid1","CVE-2022-0563","LOW"
"libc-bin","CVE-2010-4756","LOW"
"libc-bin","CVE-2018-20796","LOW"
"libc-bin","CVE-2019-1010022","LOW"
"libc-bin","CVE-2019-1010023","LOW"
"libc-bin","CVE-2019-1010024","LOW"
