"packageName","vulnerabilityID","severity"
"bash","CVE-2022-3715","LOW"
"coreutils","CVE-2016-2781","LOW"
"dirmngr","CVE-2022-3219","LOW"
"gnupg","CVE-2022-3219","LOW"
"gnupg-l10n","CVE-2022-3219","LOW"
"gnupg-utils","CVE-2022-3219","LOW"
"gpg","CVE-2022-3219","LOW"
"gpg-agent","CVE-2022-3219","LOW"
"gpg-wks-client","CVE-2022-3219","LOW"
"gpg-wks-server","CVE-2022-3219","LOW"
"gpgconf","CVE-2022-3219","LOW"
"gpgsm","CVE-2022-3219","LOW"
"gpgv","CVE-2022-3219","LOW"
"libc-bin","CVE-2016-20013","LOW"
"libc6","CVE-2016-20013","LOW"
"libcap2","CVE-2023-2603","MEDIUM"
"libcap2","CVE-2023-2602","LOW"
"libcurl4","CVE-2023-28321","LOW"
"libcurl4","CVE-2023-28322","LOW"
"libldap-2.5-0","CVE-2023-2953","LOW"
"libncurses6","CVE-2023-29491","MEDIUM"
"libncurses6","CVE-2022-29458","LOW"
"libncursesw6","CVE-2023-29491","MEDIUM"
"libncursesw6","CVE-2022-29458","LOW"
"libpcre3","CVE-2017-11164","LOW"
"libsqlite3-0","CVE-2022-46908","LOW"
"libssh-4","CVE-2023-1667","MEDIUM"
"libssh-4","CVE-2023-2283","MEDIUM"
"libssl3","CVE-2023-2650","MEDIUM"
"libssl3","CVE-2023-1255","LOW"
"libtinfo6","CVE-2023-29491","MEDIUM"
"libtinfo6","CVE-2022-29458","LOW"
"libzstd1","CVE-2022-4899","LOW"
"login","CVE-2023-29383","LOW"
"ncurses-base","CVE-2023-29491","MEDIUM"
"ncurses-base","CVE-2022-29458","LOW"
"ncurses-bin","CVE-2023-29491","MEDIUM"
"ncurses-bin","CVE-2022-29458","LOW"
"passwd","CVE-2023-29383","LOW"
"perl-base","CVE-2023-31484","MEDIUM"
"github.com/opencontainers/runc","CVE-2023-27561","HIGH"
"github.com/opencontainers/runc","CVE-2022-29162","MEDIUM"
"github.com/opencontainers/runc","CVE-2023-28642","MEDIUM"
"github.com/opencontainers/runc","CVE-2023-25809","LOW"
