"packageName","vulnerabilityID","severity"
"gnutls","CVE-2021-20231","MEDIUM"
"gnutls","CVE-2021-20232","MEDIUM"
"gnutls","CVE-2021-3580","MEDIUM"
"libgcrypt","CVE-2021-40528","HIGH"
"libgcrypt","CVE-2021-33560","MEDIUM"
"cryptography","CVE-2023-0286","HIGH"
"cryptography","CVE-2023-23931","MEDIUM"
"cryptography","GHSA-5cpq-8wj7-hf2v","LOW"
"github.com/opencontainers/runc","CVE-2023-27561","HIGH"
"github.com/opencontainers/runc","CVE-2022-29162","MEDIUM"
"github.com/opencontainers/runc","CVE-2023-28642","MEDIUM"
"github.com/opencontainers/runc","CVE-2023-25809","LOW"
