"packageName","vulnerabilityID","severity"
"apt","CVE-2011-3374","LOW"
"bsdutils","CVE-2022-0563","LOW"
"coreutils","CVE-2016-2781","LOW"
"coreutils","CVE-2017-18018","LOW"
"gcc-12-base","CVE-2022-27943","LOW"
"gpgv","CVE-2022-3219","LOW"
"libapt-pkg6.0","CVE-2011-3374","LOW"
"libblkid1","CVE-2022-0563","LOW"
"libc-bin","CVE-2010-4756","LOW"
"libc-bin","CVE-2018-20796","LOW"
"libc-bin","CVE-2019-1010022","LOW"
"libc-bin","CVE-2019-1010023","LOW"
"libc-bin","CVE-2019-1010024","LOW"
"libc-bin","CVE-2019-1010025","LOW"
"libc-bin","CVE-2019-9192","LOW"
"libc6","CVE-2010-4756","LOW"
"libc6","CVE-2018-20796","LOW"
"libc6","CVE-2019-1010022","LOW"
"libc6","CVE-2019-1010023","LOW"
"libc6","CVE-2019-1010024","LOW"
"libc6","CVE-2019-1010025","LOW"
"libc6","CVE-2019-9192","LOW"
"libdav1d6","CVE-2023-32570","MEDIUM"
"libde265-0","CVE-2023-27103","HIGH"
"libde265-0","CVE-2023-27102","MEDIUM"
"libgcc-s1","CVE-2022-27943","LOW"
"libgcrypt20","CVE-2018-6829","LOW"
"libgnutls30","CVE-2011-3389","LOW"
"libgssapi-krb5-2","CVE-2018-5709","LOW"
"libheif1","CVE-2023-29659","MEDIUM"
"libjbig0","CVE-2017-9937","LOW"
"libk5crypto3","CVE-2018-5709","LOW"
"libkrb5-3","CVE-2018-5709","LOW"
"libkrb5support0","CVE-2018-5709","LOW"
"libldap-2.5-0","CVE-2023-2953","HIGH"
"libldap-2.5-0","CVE-2015-3276","LOW"
"libldap-2.5-0","CVE-2017-14159","LOW"
"libldap-2.5-0","CVE-2017-17740","LOW"
"libldap-2.5-0","CVE-2020-15719","LOW"
"libmount1","CVE-2022-0563","LOW"
"libpng16-16","CVE-2021-4214","LOW"
"libsmartcols1","CVE-2022-0563","LOW"
"libssl3","CVE-2007-6755","LOW"
"libssl3","CVE-2010-0928","LOW"
"libstdc++6","CVE-2022-27943","LOW"
"libsystemd0","CVE-2013-4392","LOW"
"libtiff6","CVE-2014-8130","LOW"
"libtiff6","CVE-2017-16232","LOW"
"libtiff6","CVE-2017-17973","LOW"
"libtiff6","CVE-2017-5563","LOW"
"libtiff6","CVE-2017-9117","LOW"
"libtiff6","CVE-2018-10126","LOW"
"libtiff6","CVE-2022-1210","LOW"
"libtiff6","CVE-2023-1916","LOW"
"libtiff6","CVE-2023-3164","LOW"
"libudev1","CVE-2013-4392","LOW"
"libuuid1","CVE-2022-0563","LOW"
"libxslt1.1","CVE-2015-9019","LOW"
"login","CVE-2007-5686","LOW"
"login","CVE-2019-19882","LOW"
"login","CVE-2023-29383","LOW"
"mount","CVE-2022-0563","LOW"
"nginx","CVE-2009-4487","LOW"
"nginx","CVE-2013-0337","LOW"
"openssl","CVE-2007-6755","LOW"
"openssl","CVE-2010-0928","LOW"
"passwd","CVE-2007-5686","LOW"
"passwd","CVE-2019-19882","LOW"
"passwd","CVE-2023-29383","LOW"
"perl-base","CVE-2023-31484","HIGH"
"perl-base","CVE-2011-4116","LOW"
"perl-base","CVE-2023-31486","LOW"
"tar","CVE-2005-2541","LOW"
"tar","CVE-2022-48303","LOW"
"util-linux","CVE-2022-0563","LOW"
"util-linux-extra","CVE-2022-0563","LOW"
