"packageName","vulnerabilityID","severity"
"curl","CVE-2023-23916","MEDIUM"
"curl","CVE-2023-27535","MEDIUM"
"curl","CVE-2022-35252","LOW"
"curl","CVE-2022-43552","LOW"
"gnutls","CVE-2021-20231","MEDIUM"
"gnutls","CVE-2021-20232","MEDIUM"
"gnutls","CVE-2021-3580","MEDIUM"
"gnutls","CVE-2023-0361","MEDIUM"
"libarchive","CVE-2022-36227","LOW"
"libcurl","CVE-2023-23916","MEDIUM"
"libcurl","CVE-2023-27535","MEDIUM"
"libcurl","CVE-2022-35252","LOW"
"libcurl","CVE-2022-43552","LOW"
"libgcrypt","CVE-2021-40528","HIGH"
"libgcrypt","CVE-2021-33560","MEDIUM"
"openssl-libs","CVE-2022-4304","HIGH"
"openssl-libs","CVE-2022-4450","HIGH"
"openssl-libs","CVE-2023-0215","HIGH"
"openssl-libs","CVE-2023-0286","HIGH"
"systemd-libs","CVE-2022-4415","MEDIUM"
"tar","CVE-2022-48303","MEDIUM"
