"packageName","vulnerabilityID","severity"
"apt","CVE-2011-3374","LOW"
"bash","CVE-2022-3715","HIGH"
"binutils","CVE-2017-13716","LOW"
"binutils","CVE-2018-12934","LOW"
"binutils","CVE-2018-18483","LOW"
"binutils","CVE-2018-20623","LOW"
"binutils","CVE-2018-20673","LOW"
"binutils","CVE-2018-20712","LOW"
"binutils","CVE-2018-9996","LOW"
"binutils","CVE-2019-1010204","LOW"
"binutils","CVE-2020-35448","LOW"
"binutils","CVE-2021-20197","LOW"
"binutils","CVE-2021-20284","LOW"
"binutils","CVE-2021-3487","LOW"
"binutils","CVE-2021-3530","LOW"
"binutils","CVE-2021-3549","LOW"
"binutils","CVE-2021-3826","LOW"
"binutils","CVE-2021-45078","LOW"
"binutils","CVE-2021-46195","LOW"
"binutils","CVE-2022-38533","LOW"
"binutils","CVE-2022-4285","LOW"
"binutils","CVE-2023-1579","LOW"
"binutils","CVE-2023-1972","LOW"
"binutils-common","CVE-2017-13716","LOW"
"binutils-common","CVE-2018-12934","LOW"
"binutils-common","CVE-2018-18483","LOW"
"binutils-common","CVE-2018-20623","LOW"
"binutils-common","CVE-2018-20673","LOW"
"binutils-common","CVE-2018-20712","LOW"
"binutils-common","CVE-2018-9996","LOW"
"binutils-common","CVE-2019-1010204","LOW"
"binutils-common","CVE-2020-35448","LOW"
"binutils-common","CVE-2021-20197","LOW"
"binutils-common","CVE-2021-20284","LOW"
"binutils-common","CVE-2021-3487","LOW"
"binutils-common","CVE-2021-3530","LOW"
"binutils-common","CVE-2021-3549","LOW"
"binutils-common","CVE-2021-3826","LOW"
"binutils-common","CVE-2021-45078","LOW"
"binutils-common","CVE-2021-46195","LOW"
"binutils-common","CVE-2022-38533","LOW"
"binutils-common","CVE-2022-4285","LOW"
"binutils-common","CVE-2023-1579","LOW"
"binutils-common","CVE-2023-1972","LOW"
"binutils-x86-64-linux-gnu","CVE-2017-13716","LOW"
"binutils-x86-64-linux-gnu","CVE-2018-12934","LOW"
"binutils-x86-64-linux-gnu","CVE-2018-18483","LOW"
"binutils-x86-64-linux-gnu","CVE-2018-20623","LOW"
"binutils-x86-64-linux-gnu","CVE-2018-20673","LOW"
"binutils-x86-64-linux-gnu","CVE-2018-20712","LOW"
"binutils-x86-64-linux-gnu","CVE-2018-9996","LOW"
"binutils-x86-64-linux-gnu","CVE-2019-1010204","LOW"
"binutils-x86-64-linux-gnu","CVE-2020-35448","LOW"
"binutils-x86-64-linux-gnu","CVE-2021-20197","LOW"
"binutils-x86-64-linux-gnu","CVE-2021-20284","LOW"
"binutils-x86-64-linux-gnu","CVE-2021-3487","LOW"
"binutils-x86-64-linux-gnu","CVE-2021-3530","LOW"
"binutils-x86-64-linux-gnu","CVE-2021-3549","LOW"
"binutils-x86-64-linux-gnu","CVE-2021-3826","LOW"
"binutils-x86-64-linux-gnu","CVE-2021-45078","LOW"
"binutils-x86-64-linux-gnu","CVE-2021-46195","LOW"
"binutils-x86-64-linux-gnu","CVE-2022-38533","LOW"
"binutils-x86-64-linux-gnu","CVE-2022-4285","LOW"
"binutils-x86-64-linux-gnu","CVE-2023-1579","LOW"
"binutils-x86-64-linux-gnu","CVE-2023-1972","LOW"
"bsdutils","CVE-2022-0563","LOW"
"comerr-dev","CVE-2022-1304","HIGH"
"coreutils","CVE-2016-2781","LOW"
"coreutils","CVE-2017-18018","LOW"
"curl","CVE-2023-23914","CRITICAL"
"curl","CVE-2023-28322","CRITICAL"
"curl","CVE-2022-42916","HIGH"
"curl","CVE-2022-43551","HIGH"
"curl","CVE-2023-27533","HIGH"
"curl","CVE-2023-27534","HIGH"
"curl","CVE-2023-27535","HIGH"
"curl","CVE-2023-28321","HIGH"
"curl","CVE-2023-23915","MEDIUM"
"curl","CVE-2023-27536","MEDIUM"
"curl","CVE-2023-27538","MEDIUM"
"curl","CVE-2021-22922","LOW"
"curl","CVE-2021-22923","LOW"
"curl","CVE-2023-28320","LOW"
"dirmngr","CVE-2022-3219","LOW"
"e2fsprogs","CVE-2022-1304","HIGH"
"git","CVE-2023-25652","HIGH"
"git","CVE-2023-29007","HIGH"
"git","CVE-2018-1000021","LOW"
"git","CVE-2022-24975","LOW"
"git","CVE-2023-25815","LOW"
"git-man","CVE-2023-25652","HIGH"
"git-man","CVE-2023-29007","HIGH"
"git-man","CVE-2018-1000021","LOW"
"git-man","CVE-2022-24975","LOW"
"git-man","CVE-2023-25815","LOW"
"gnupg","CVE-2022-3219","LOW"
"gnupg-l10n","CVE-2022-3219","LOW"
"gnupg-utils","CVE-2022-3219","LOW"
"gpg","CVE-2022-3219","LOW"
"gpg-agent","CVE-2022-3219","LOW"
"gpg-wks-client","CVE-2022-3219","LOW"
"gpg-wks-server","CVE-2022-3219","LOW"
"gpgconf","CVE-2022-3219","LOW"
"gpgsm","CVE-2022-3219","LOW"
"gpgv","CVE-2022-3219","LOW"
"imagemagick","CVE-2021-20309","HIGH"
"imagemagick","CVE-2021-20312","HIGH"
"imagemagick","CVE-2021-20313","HIGH"
"imagemagick","CVE-2021-3610","HIGH"
"imagemagick","CVE-2022-1114","HIGH"
"imagemagick","CVE-2022-28463","HIGH"
"imagemagick","CVE-2022-32545","HIGH"
"imagemagick","CVE-2022-32546","HIGH"
"imagemagick","CVE-2022-32547","HIGH"
