"packageName","vulnerabilityID","severity"
"libc-bin","CVE-2016-20013","Negligible"
"libc6","CVE-2016-20013","Negligible"
"coreutils","CVE-2016-2781","Low"
"libpcre3","CVE-2017-11164","Negligible"
"libncurses6","CVE-2022-29458","Negligible"
"libncursesw6","CVE-2022-29458","Negligible"
"libtinfo6","CVE-2022-29458","Negligible"
"ncurses-base","CVE-2022-29458","Negligible"
"ncurses-bin","CVE-2022-29458","Negligible"
"dirmngr","CVE-2022-3219","Low"
"gnupg","CVE-2022-3219","Low"
"gnupg-l10n","CVE-2022-3219","Low"
"gnupg-utils","CVE-2022-3219","Low"
"gpg","CVE-2022-3219","Low"
"gpg-agent","CVE-2022-3219","Low"
"gpg-wks-client","CVE-2022-3219","Low"
"gpg-wks-server","CVE-2022-3219","Low"
"gpgconf","CVE-2022-3219","Low"
"gpgsm","CVE-2022-3219","Low"
"gpgv","CVE-2022-3219","Low"
"bash","CVE-2022-3715","Low"
"libsqlite3-0","CVE-2022-46908","Low"
"libzstd1","CVE-2022-4899","Low"
"libssl3","CVE-2023-1255","Low"
"libssh-4","CVE-2023-1667","Medium"
"libssh-4","CVE-2023-2283","Medium"
"libcap2","CVE-2023-2602","Low"
"libcap2","CVE-2023-2603","Medium"
"libssl3","CVE-2023-2650","Medium"
"libcurl4","CVE-2023-28321","Low"
"libcurl4","CVE-2023-28322","Low"
"login","CVE-2023-29383","Low"
"passwd","CVE-2023-29383","Low"
"libncurses6","CVE-2023-29491","Medium"
"libncursesw6","CVE-2023-29491","Medium"
"libtinfo6","CVE-2023-29491","Medium"
"ncurses-base","CVE-2023-29491","Medium"
"ncurses-bin","CVE-2023-29491","Medium"
"libldap-2.5-0","CVE-2023-2953","Low"
"perl-base","CVE-2023-31484","Medium"
"github.com/opencontainers/runc","GHSA-f3fp-gc8g-vw66","Medium"
"github.com/opencontainers/runc","GHSA-g2j6-57v7-gm8c","Medium"
"github.com/opencontainers/runc","GHSA-m8cg-xc2p-r3fc","Low"
"github.com/opencontainers/runc","GHSA-vpvm-3wq2-2wvm","High"
