"packageName","vulnerabilityID","severity"
"pip","CVE-2018-20225","High"
"pip","CVE-2021-3572","Medium"
"setuptools","CVE-2022-40897","Medium"
"gnutls","ELSA-2022-9221","Medium"
"libgcrypt","ELSA-2022-9263","Medium"
"libgcrypt","ELSA-2022-9564","High"
"certifi","GHSA-43fp-rhv2-5gv8","Medium"
"cryptography","GHSA-5cpq-8wj7-hf2v","Low"
"pip","GHSA-5xp3-jfq3-5q8x","Medium"
"github.com/opencontainers/runc","GHSA-f3fp-gc8g-vw66","Medium"
"github.com/opencontainers/runc","GHSA-g2j6-57v7-gm8c","Medium"
"github.com/opencontainers/runc","GHSA-m8cg-xc2p-r3fc","Low"
"setuptools","GHSA-r9hx-vwmv-q579","High"
"github.com/opencontainers/runc","GHSA-vpvm-3wq2-2wvm","High"
"cryptography","GHSA-w7pp-m8wf-vj6r","Medium"
"cryptography","GHSA-x4qr-2fvf-3mr5","High"
