"packageName","vulnerabilityID","severity"
"linux-libc-dev","CVE-2004-0230","Negligible"
"imagemagick","CVE-2005-0406","Negligible"
"imagemagick-6-common","CVE-2005-0406","Negligible"
"imagemagick-6.q16","CVE-2005-0406","Negligible"
"libmagickcore-6-arch-config","CVE-2005-0406","Negligible"
"libmagickcore-6-headers","CVE-2005-0406","Negligible"
"libmagickcore-6.q16-6","CVE-2005-0406","Negligible"
"libmagickcore-6.q16-6-extra","CVE-2005-0406","Negligible"
"libmagickcore-6.q16-dev","CVE-2005-0406","Negligible"
"libmagickcore-dev","CVE-2005-0406","Negligible"
"libmagickwand-6-headers","CVE-2005-0406","Negligible"
"libmagickwand-6.q16-6","CVE-2005-0406","Negligible"
"libmagickwand-6.q16-dev","CVE-2005-0406","Negligible"
"libmagickwand-dev","CVE-2005-0406","Negligible"
"tar","CVE-2005-2541","Negligible"
"linux-libc-dev","CVE-2005-3660","Negligible"
"openssh-client","CVE-2007-2243","Negligible"
"openssh-client","CVE-2007-2768","Negligible"
"libwmf-0.2-7","CVE-2007-3476","Low"
"libwmf-dev","CVE-2007-3476","Low"
"libwmflite-0.2-7","CVE-2007-3476","Low"
"libwmf-0.2-7","CVE-2007-3477","Low"
"libwmf-dev","CVE-2007-3477","Low"
"libwmflite-0.2-7","CVE-2007-3477","Low"
"linux-libc-dev","CVE-2007-3719","Negligible"
"libwmf-0.2-7","CVE-2007-3996","Medium"
"libwmf-dev","CVE-2007-3996","Medium"
"libwmflite-0.2-7","CVE-2007-3996","Medium"
"login","CVE-2007-5686","Negligible"
"passwd","CVE-2007-5686","Negligible"
"libssl-dev","CVE-2007-6755","Negligible"
"libssl3","CVE-2007-6755","Negligible"
"openssl","CVE-2007-6755","Negligible"
"m4","CVE-2008-1687","Negligible"
"m4","CVE-2008-1688","Negligible"
"linux-libc-dev","CVE-2008-2544","Negligible"
"imagemagick","CVE-2008-3134","Negligible"
"imagemagick-6-common","CVE-2008-3134","Negligible"
"imagemagick-6.q16","CVE-2008-3134","Negligible"
"libmagickcore-6-arch-config","CVE-2008-3134","Negligible"
"libmagickcore-6-headers","CVE-2008-3134","Negligible"
"libmagickcore-6.q16-6","CVE-2008-3134","Negligible"
"libmagickcore-6.q16-6-extra","CVE-2008-3134","Negligible"
"libmagickcore-6.q16-dev","CVE-2008-3134","Negligible"
"libmagickcore-dev","CVE-2008-3134","Negligible"
"libmagickwand-6-headers","CVE-2008-3134","Negligible"
"libmagickwand-6.q16-6","CVE-2008-3134","Negligible"
"libmagickwand-6.q16-dev","CVE-2008-3134","Negligible"
"libmagickwand-dev","CVE-2008-3134","Negligible"
"openssh-client","CVE-2008-3234","Negligible"
"linux-libc-dev","CVE-2008-4609","Negligible"
"libwmf-0.2-7","CVE-2009-3546","Medium"
"libwmf-dev","CVE-2009-3546","Medium"
"libwmflite-0.2-7","CVE-2009-3546","Medium"
"libssl-dev","CVE-2010-0928","Negligible"
"libssl3","CVE-2010-0928","Negligible"
