"packageName","vulnerabilityID","severity"
"github.com/hashicorp/consul","CVE-2021-41803","High"
"github.com/hashicorp/consul","CVE-2022-40716","Medium"
"github.com/hashicorp/consul","CVE-2023-0845","Medium"
"libcrypto3","CVE-2023-1255","Medium"
"libssl3","CVE-2023-1255","Medium"
"libcrypto3","CVE-2023-2650","High"
"libssl3","CVE-2023-2650","High"
"github.com/docker/docker","GHSA-232p-vwff-86mp","High"
"github.com/docker/docker","GHSA-33pg-m6jh-5237","Medium"
"github.com/docker/docker","GHSA-6wrf-mxfj-pf5p","Medium"
"github.com/hashicorp/consul","GHSA-c57c-7hrj-6q6v","Medium"
"github.com/docker/distribution","GHSA-hqxw-f8mx-cpmw","High"
"github.com/hashicorp/consul","GHSA-m69r-9g56-7mv8","Medium"
