"packageName","vulnerabilityID","severity"
"apt","CVE-2011-3374","LOW"
"bash","CVE-2022-3715","HIGH"
"bsdutils","CVE-2022-0563","LOW"
"coreutils","CVE-2016-2781","LOW"
"coreutils","CVE-2017-18018","LOW"
"e2fsprogs","CVE-2022-1304","HIGH"
"gpgv","CVE-2022-3219","LOW"
"libapt-pkg6.0","CVE-2011-3374","LOW"
"libblkid1","CVE-2022-0563","LOW"
"libc-bin","CVE-2010-4756","LOW"
"libc-bin","CVE-2018-20796","LOW"
"libc-bin","CVE-2019-1010022","LOW"
"libc-bin","CVE-2019-1010023","LOW"
"libc-bin","CVE-2019-1010024","LOW"
"libc-bin","CVE-2019-1010025","LOW"
"libc-bin","CVE-2019-9192","LOW"
"libc6","CVE-2010-4756","LOW"
"libc6","CVE-2018-20796","LOW"
"libc6","CVE-2019-1010022","LOW"
"libc6","CVE-2019-1010023","LOW"
"libc6","CVE-2019-1010024","LOW"
"libc6","CVE-2019-1010025","LOW"
"libc6","CVE-2019-9192","LOW"
"libcom-err2","CVE-2022-1304","HIGH"
"libcurl4","CVE-2023-23914","CRITICAL"
"libcurl4","CVE-2023-28322","CRITICAL"
"libcurl4","CVE-2022-42916","HIGH"
"libcurl4","CVE-2022-43551","HIGH"
"libcurl4","CVE-2023-27533","HIGH"
"libcurl4","CVE-2023-27534","HIGH"
"libcurl4","CVE-2023-27535","HIGH"
"libcurl4","CVE-2023-28321","HIGH"
"libcurl4","CVE-2023-23915","MEDIUM"
"libcurl4","CVE-2023-27536","MEDIUM"
"libcurl4","CVE-2023-27538","MEDIUM"
"libcurl4","CVE-2021-22922","LOW"
"libcurl4","CVE-2021-22923","LOW"
"libcurl4","CVE-2023-28320","LOW"
"libdb5.3","CVE-2019-8457","CRITICAL"
"libexpat1","CVE-2013-0340","LOW"
"libext2fs2","CVE-2022-1304","HIGH"
"libgcrypt20","CVE-2021-33560","HIGH"
"libgcrypt20","CVE-2018-6829","LOW"
"libgnutls30","CVE-2011-3389","LOW"
"libgssapi-krb5-2","CVE-2018-5709","LOW"
"libjansson4","CVE-2020-36325","LOW"
"libk5crypto3","CVE-2018-5709","LOW"
"libkrb5-3","CVE-2018-5709","LOW"
"libkrb5support0","CVE-2018-5709","LOW"
"libldap-2.4-2","CVE-2023-2953","HIGH"
"libldap-2.4-2","CVE-2015-3276","LOW"
"libldap-2.4-2","CVE-2017-14159","LOW"
"libldap-2.4-2","CVE-2017-17740","LOW"
"libldap-2.4-2","CVE-2020-15719","LOW"
"libldap-common","CVE-2023-2953","HIGH"
"libldap-common","CVE-2015-3276","LOW"
"libldap-common","CVE-2017-14159","LOW"
"libldap-common","CVE-2017-17740","LOW"
"libldap-common","CVE-2020-15719","LOW"
"liblua5.2-0","CVE-2021-43519","MEDIUM"
"libmount1","CVE-2022-0563","LOW"
"libpcre3","CVE-2017-11164","LOW"
"libpcre3","CVE-2017-16231","LOW"
"libpcre3","CVE-2017-7245","LOW"
"libpcre3","CVE-2017-7246","LOW"
"libpcre3","CVE-2019-20838","LOW"
"libsepol1","CVE-2021-36084","LOW"
"libsepol1","CVE-2021-36085","LOW"
"libsepol1","CVE-2021-36086","LOW"
"libsepol1","CVE-2021-36087","LOW"
"libsmartcols1","CVE-2022-0563","LOW"
"libss2","CVE-2022-1304","HIGH"
"libssl1.1","CVE-2007-6755","LOW"
"libssl1.1","CVE-2010-0928","LOW"
"libsystemd0","CVE-2013-4392","LOW"
"libsystemd0","CVE-2020-13529","LOW"
"libtinfo6","CVE-2023-29491","HIGH"
"libudev1","CVE-2013-4392","LOW"
"libudev1","CVE-2020-13529","LOW"
"libuuid1","CVE-2022-0563","LOW"
"libxml2","CVE-2016-3709","MEDIUM"
"libzstd1","CVE-2022-4899","HIGH"
"login","CVE-2007-5686","LOW"
"login","CVE-2013-4235","LOW"
"login","CVE-2019-19882","LOW"
"login","CVE-2023-29383","LOW"
"logsave","CVE-2022-1304","HIGH"
"mount","CVE-2022-0563","LOW"
"ncurses-base","CVE-2023-29491","HIGH"
"ncurses-bin","CVE-2023-29491","HIGH"
"openssl","CVE-2007-6755","LOW"
"openssl","CVE-2010-0928","LOW"
"passwd","CVE-2007-5686","LOW"
"passwd","CVE-2013-4235","LOW"
"passwd","CVE-2019-19882","LOW"
"passwd","CVE-2023-29383","LOW"
"perl-base","CVE-2020-16156","HIGH"
"perl-base","CVE-2023-31484","HIGH"
"perl-base","CVE-2011-4116","LOW"
"perl-base","CVE-2023-31486","LOW"
"tar","CVE-2005-2541","LOW"
"tar","CVE-2022-48303","LOW"
"util-linux","CVE-2022-0563","LOW"
