"packageName","vulnerabilityID","severity"
"apt","CVE-2011-3374","LOW"
"binutils","CVE-2017-13716","LOW"
"binutils","CVE-2018-12934","LOW"
"binutils","CVE-2018-18483","LOW"
"binutils","CVE-2018-20623","LOW"
"binutils","CVE-2018-20673","LOW"
"binutils","CVE-2018-20712","LOW"
"binutils","CVE-2018-9996","LOW"
"binutils","CVE-2023-1972","LOW"
"binutils-common","CVE-2017-13716","LOW"
"binutils-common","CVE-2018-12934","LOW"
"binutils-common","CVE-2018-18483","LOW"
"binutils-common","CVE-2018-20623","LOW"
"binutils-common","CVE-2018-20673","LOW"
"binutils-common","CVE-2018-20712","LOW"
"binutils-common","CVE-2018-9996","LOW"
"binutils-common","CVE-2023-1972","LOW"
"binutils-x86-64-linux-gnu","CVE-2017-13716","LOW"
"binutils-x86-64-linux-gnu","CVE-2018-12934","LOW"
"binutils-x86-64-linux-gnu","CVE-2018-18483","LOW"
"binutils-x86-64-linux-gnu","CVE-2018-20623","LOW"
"binutils-x86-64-linux-gnu","CVE-2018-20673","LOW"
"binutils-x86-64-linux-gnu","CVE-2018-20712","LOW"
"binutils-x86-64-linux-gnu","CVE-2018-9996","LOW"
"binutils-x86-64-linux-gnu","CVE-2023-1972","LOW"
"bsdutils","CVE-2022-0563","LOW"
"coreutils","CVE-2016-2781","LOW"
"coreutils","CVE-2017-18018","LOW"
"cpp-12","CVE-2022-27943","LOW"
"dirmngr","CVE-2022-3219","LOW"
"g++-12","CVE-2022-27943","LOW"
"gcc-12","CVE-2022-27943","LOW"
"gcc-12-base","CVE-2022-27943","LOW"
"git","CVE-2023-25652","HIGH"
"git","CVE-2023-29007","HIGH"
"git","CVE-2018-1000021","LOW"
"git","CVE-2022-24975","LOW"
"git","CVE-2023-25815","LOW"
"git-man","CVE-2023-25652","HIGH"
"git-man","CVE-2023-29007","HIGH"
"git-man","CVE-2018-1000021","LOW"
"git-man","CVE-2022-24975","LOW"
"git-man","CVE-2023-25815","LOW"
"gnupg","CVE-2022-3219","LOW"
"gnupg-l10n","CVE-2022-3219","LOW"
"gnupg-utils","CVE-2022-3219","LOW"
"gpg","CVE-2022-3219","LOW"
"gpg-agent","CVE-2022-3219","LOW"
"gpg-wks-client","CVE-2022-3219","LOW"
"gpg-wks-server","CVE-2022-3219","LOW"
"gpgconf","CVE-2022-3219","LOW"
"gpgsm","CVE-2022-3219","LOW"
"gpgv","CVE-2022-3219","LOW"
"imagemagick","CVE-2021-3610","HIGH"
"imagemagick","CVE-2022-1115","MEDIUM"
"imagemagick","CVE-2022-3213","MEDIUM"
"imagemagick","CVE-2023-1289","MEDIUM"
"imagemagick","CVE-2023-1906","MEDIUM"
"imagemagick","CVE-2023-2157","MEDIUM"
"imagemagick","CVE-2023-3195","MEDIUM"
"imagemagick","CVE-2023-34151","MEDIUM"
"imagemagick","CVE-2005-0406","LOW"
"imagemagick","CVE-2008-3134","LOW"
"imagemagick","CVE-2016-8678","LOW"
"imagemagick","CVE-2017-11754","LOW"
"imagemagick","CVE-2017-11755","LOW"
"imagemagick","CVE-2017-7275","LOW"
"imagemagick","CVE-2018-15607","LOW"
"imagemagick","CVE-2021-20311","LOW"
"imagemagick","CVE-2023-34152","LOW"
