"packageName","vulnerabilityID","severity"
"libcrypto3","CVE-2023-2650","HIGH"
"libcrypto3","CVE-2023-1255","MEDIUM"
"libssl3","CVE-2023-2650","HIGH"
"libssl3","CVE-2023-1255","MEDIUM"
"github.com/aws/aws-sdk-go","CVE-2020-8911","MEDIUM"
"github.com/aws/aws-sdk-go","CVE-2020-8912","LOW"
"github.com/docker/distribution","CVE-2023-2253","HIGH"
"github.com/docker/docker","CVE-2023-28840","HIGH"
"github.com/docker/docker","CVE-2023-28841","MEDIUM"
"github.com/docker/docker","CVE-2023-28842","MEDIUM"
"github.com/hashicorp/consul","CVE-2022-40716","MEDIUM"
"github.com/hashicorp/consul","CVE-2023-1297","MEDIUM"
