"vulnerabilityID","trivyCount","grypeCount"
"CVE-2023-3195",26,0
"CVE-2022-1056",9,7
"CVE-2022-29526",3,2
"CVE-2020-8911",1,0
"CVE-2020-8912",1,0
"CVE-2022-41723",1,0
"CVE-1999-0236",0,1
"CVE-1999-0678",0,1
"CVE-1999-1237",0,1
"CVE-1999-1412",0,1
"CVE-2007-0086",0,1
"CVE-2007-0450",0,1
"CVE-2007-4559",0,1
"CVE-2018-20225",0,2
"CVE-2020-29509",0,1
"CVE-2020-29511",0,1
"CVE-2021-3572",0,2
"CVE-2021-41803",0,1
"CVE-2022-0543",0,1
"CVE-2022-23491",0,1
"CVE-2022-3647",0,1
"CVE-2022-3734",0,1
"CVE-2022-40897",0,2
"CVE-2023-0845",0,1
