"vulnerabilityID","trivyCount","grypeCount"
"CVE-2022-3219",768,768
"CVE-2022-0563",520,520
"CVE-2023-29491",369,369
"CVE-2018-5709",352,352
"CVE-2023-29383",288,288
"CVE-2023-31484",253,253
"CVE-2010-4756",192,192
"CVE-2018-20796",192,192
"CVE-2019-1010022",192,192
"CVE-2019-1010023",192,192
"CVE-2019-1010024",192,192
"CVE-2019-1010025",192,192
"CVE-2019-9192",192,192
"CVE-2011-4116",160,160
"CVE-2023-31486",160,160
"CVE-2016-2781",144,144
"CVE-2022-1304",130,130
"CVE-2007-5686",128,128
"CVE-2007-6755",128,128
"CVE-2010-0928",128,128
"CVE-2011-3374",128,128
"CVE-2013-4392",128,128
"CVE-2019-19882",128,128
"CVE-2017-11164",117,117
"CVE-2022-27943",111,111
"CVE-2022-29458",80,80
"CVE-2022-4899",80,80
"CVE-2013-4235",72,72
"CVE-2022-48303",72,72
"CVE-2005-2541",64,64
"CVE-2011-3389",64,64
"CVE-2017-18018",64,64
"CVE-2018-6829",64,64
"CVE-2022-3715",64,64
"CVE-2017-13716",60,60
"CVE-2018-12934",60,60
"CVE-2018-18483",60,60
"CVE-2018-20623",60,60
"CVE-2018-20673",60,60
"CVE-2018-20712",60,60
"CVE-2018-9996",60,60
"CVE-2023-1972",60,60
"CVE-2023-2953",56,56
"CVE-2020-16156",55,55
"CVE-2023-2650",54,54
"CVE-2005-0406",52,52
"CVE-2008-3134",52,52
"CVE-2016-8678",52,52
"CVE-2017-11754",52,52
"CVE-2017-11755",52,52
"CVE-2017-7275",52,52
"CVE-2018-15607",52,52
"CVE-2021-20311",52,52
"CVE-2021-3610",52,52
"CVE-2022-1115",52,52
"CVE-2022-3213",52,52
"CVE-2023-1289",52,52
"CVE-2023-1906",52,52
"CVE-2023-2157",52,52
"CVE-2023-34151",52,52
"CVE-2023-34152",52,52
"CVE-2020-13529",50,50
"CVE-2017-16231",45,45
"CVE-2017-7245",45,45
"CVE-2017-7246",45,45
"CVE-2019-20838",45,45
"CVE-2015-3276",42,42
"CVE-2017-14159",42,42
"CVE-2017-17740",42,42
"CVE-2020-15719",42,42
"CVE-2023-24329",36,36
"CVE-2023-27043",36,36
"CVE-2021-33560",35,35
"CVE-2016-20013",32,32
"CVE-2019-8457",30,30
"CVE-2021-36084",30,30
"CVE-2021-36085",30,30
"CVE-2021-36086",30,30
"CVE-2021-36087",30,30
"CVE-2023-3195",26,0
"CVE-2015-9019",24,24
"CVE-2021-45346",24,24
"CVE-2014-8130",21,21
"CVE-2017-16232",21,21
"CVE-2017-17973",21,21
"CVE-2017-5563",21,21
"CVE-2017-9117",21,21
"CVE-2018-10126",21,21
"CVE-2022-1210",21,21
"CVE-2023-1916",21,21
"CVE-2023-3164",21,21
"CVE-2012-0039",20,20
"CVE-2023-1255",20,20
"CVE-2018-1000021",18,18
"CVE-2022-24975",18,18
"CVE-2023-25652",18,18
"CVE-2023-25815",18,18
"CVE-2023-28321",18,18
"CVE-2023-28322",18,18
"CVE-2023-29007",18,18
"CVE-2017-7475",16,16
"CVE-2018-18064",16,16
"CVE-2019-6461",16,16
"CVE-2019-6462",16,16
"CVE-2017-9937",15,15
"CVE-2021-4214",15,15
"CVE-2023-27535",14,15
"CVE-2021-20241",13,13
"CVE-2021-20243",13,13
"CVE-2021-20244",13,13
"CVE-2021-20245",13,13
"CVE-2021-20246",13,13
"CVE-2021-20309",13,13
"CVE-2021-20312",13,13
"CVE-2021-20313",13,13
"CVE-2021-3574",13,13
"CVE-2021-39212",13,13
"CVE-2021-4219",13,13
"CVE-2022-1114",13,13
"CVE-2022-28463",13,13
"CVE-2022-32545",13,13
"CVE-2022-32546",13,13
"CVE-2022-32547",13,13
"CVE-2016-3709",12,12
"CVE-2023-2602",12,12
"CVE-2023-2603",12,12
"CVE-2007-3476",10,10
"CVE-2007-3477",10,10
"CVE-2007-3996",10,10
"CVE-2009-3546",10,10
"CVE-2021-22922",10,10
"CVE-2021-22923",10,10
"CVE-2022-42916",10,10
"CVE-2022-43551",10,10
"CVE-2023-23914",10,10
"CVE-2023-23915",10,10
"CVE-2023-27533",10,10
"CVE-2023-27534",10,10
"CVE-2023-27536",10,10
"CVE-2023-27538",10,10
"CVE-2023-28320",10,10
"CVE-2004-0230",9,9
"CVE-2005-3660",9,9
"CVE-2007-2243",9,9
"CVE-2007-2768",9,9
"CVE-2007-3719",9,9
"CVE-2008-2544",9,9
"CVE-2008-3234",9,9
"CVE-2008-4609",9,9
"CVE-2010-4563",9,9
"CVE-2010-5321",9,9
"CVE-2011-4915",9,9
"CVE-2011-4916",9,9
"CVE-2011-4917",9,9
"CVE-2012-4542",9,9
"CVE-2013-7445",9,9
"CVE-2014-9892",9,9
"CVE-2014-9900",9,9
"CVE-2015-2877",9,9
"CVE-2016-10723",9,9
"CVE-2016-20012",9,9
"CVE-2016-8660",9,9
"CVE-2017-0630",9,9
"CVE-2017-13693",9,9
"CVE-2017-13694",9,9
"CVE-2018-1121",9,9
"CVE-2018-12928",9,9
"CVE-2018-15919",9,9
"CVE-2018-17977",9,9
"CVE-2019-11191",9,9
"CVE-2019-12378",9,9
"CVE-2019-12379",9,9
"CVE-2019-12380",9,9
"CVE-2019-12381",9,9
"CVE-2019-12382",9,9
"CVE-2019-12455",9,9
"CVE-2019-12456",9,9
"CVE-2019-15213",9,9
"CVE-2019-16089",9,9
"CVE-2019-16229",9,9
"CVE-2019-16230",9,9
"CVE-2019-16231",9,9
"CVE-2019-16232",9,9
"CVE-2019-16233",9,9
"CVE-2019-16234",9,9
"CVE-2019-19070",9,9
"CVE-2019-19378",9,9
"CVE-2019-19449",9,9
"CVE-2019-19814",9,9
"CVE-2019-20794",9,9
"CVE-2019-6110",9,9
"CVE-2020-11725",9,9
"CVE-2020-14145",9,9
"CVE-2020-14304",9,9
"CVE-2020-15778",9,9
"CVE-2020-35501",9,9
"CVE-2020-36325",9,9
"CVE-2020-36694",9,9
"CVE-2021-26934",9,9
"CVE-2021-31879",9,9
"CVE-2021-3714",9,9
"CVE-2021-3847",9,9
"CVE-2021-3864",9,9
"CVE-2022-0400",9,9
"CVE-2022-1056",9,7
"CVE-2022-1247",9,9
"CVE-2022-25265",9,9
"CVE-2022-2961",9,9
"CVE-2022-41848",9,9
"CVE-2022-44032",9,9
"CVE-2022-44033",9,9
"CVE-2022-44034",9,9
"CVE-2022-4543",9,9
"CVE-2022-45884",9,9
"CVE-2022-45885",9,9
"CVE-2022-45886",9,9
"CVE-2022-45887",9,9
"CVE-2022-45919",9,9
"CVE-2023-0160",9,9
"CVE-2023-0597",9,9
"CVE-2023-1192",9,9
"CVE-2023-2124",9,9
"CVE-2023-2156",9,9
"CVE-2023-2269",9,9
"CVE-2023-23039",9,9
"CVE-2023-2430",9,9
"CVE-2023-26242",9,9
"CVE-2023-27102",9,9
"CVE-2023-27103",9,9
"CVE-2023-2898",9,9
